,date_time,ghi,dni,dhi,ins,ghi_pred,ins_filled,ghi_pred_6hour,ghi_pred_1day,ghi_pred_3hour,ghi_pred_3hour_1
0,2016-01-01 06:30:00,,,,0.0,,0.0,,,,
1,2016-01-01 07:00:00,,,,0.0,,0.0,,,,
2,2016-01-01 07:30:00,,,,0.0,,0.0,,,,
3,2016-01-01 08:00:00,,,,39.721,,39.721,,,,
4,2016-01-01 08:30:00,,,,62.039,,62.039,,,,
5,2016-01-01 09:00:00,,,,175.785,,175.785,,,,
6,2016-01-01 09:30:00,,,,211.677,,211.677,,,,
7,2016-01-01 10:00:00,,,,334.006,,334.006,,,,
8,2016-01-01 10:30:00,,,,364.739,,364.739,,,,
9,2016-01-01 11:00:00,,,,420.364,,420.364,,,,
10,2016-01-01 11:30:00,,,,475.988,,475.988,,,,
11,2016-01-01 12:00:00,,,,524.314,,524.314,,,,
12,2016-01-01 12:30:00,,,,526.895,,526.895,,,,
13,2016-01-01 13:00:00,,,,511.992,,511.992,,,,
14,2016-01-01 13:30:00,,,,457.636,,457.636,,,,
15,2016-01-01 14:00:00,,,,424.203,,424.203,,,,
16,2016-01-01 14:30:00,,,,326.812,,326.812,,,,
17,2016-01-01 15:00:00,,,,280.433,,280.433,,,,
18,2016-01-01 15:30:00,,,,165.947,,165.947,,,,
19,2016-01-01 16:00:00,,,,116.787,,116.787,,,,
20,2016-01-01 16:30:00,,,,31.214,,31.214,,,,
21,2016-01-01 17:00:00,,,,4.345,,4.345,,,,
22,2016-01-01 17:30:00,,,,0.0,,0.0,,,,
23,2016-01-01 18:00:00,,,,0.0,,0.0,,,,
24,2016-01-02 06:30:00,,,,0.0,,0.0,,,,
25,2016-01-02 07:00:00,,,,0.0,,0.0,,,,
26,2016-01-02 07:30:00,,,,18.189,,18.189,,,,
27,2016-01-02 08:00:00,,,,39.829,,39.829,,,,
28,2016-01-02 08:30:00,,,,137.167,,137.167,,,,
29,2016-01-02 09:00:00,,,,176.233,,176.233,,,,
30,2016-01-02 09:30:00,,,,297.495,,297.495,,,,
31,2016-01-02 10:00:00,,,,335.213,,335.213,,,,
32,2016-01-02 10:30:00,,,,436.831,,436.831,,,,
33,2016-01-02 11:00:00,,,,478.521,,478.521,,,,
34,2016-01-02 11:30:00,,,,520.211,,520.211,,,,
35,2016-01-02 12:00:00,,,,526.956,,526.956,,,,
